strategy,AnnReturn,AnnVol,Sharpe,Sortino,MaxDrawdown,Calmar,InformationRatio,AvgTurnover,category,IC,HitRate
EqualWeight,0.19233521235584303,0.1275368906492447,1.1714927568157865,1.4151954074862207,-0.16022640107006003,1.2003965081369032,0.5581730323246575,0.0,Rule-based,,
RiskParity,0.15666681065361612,0.10755062045359873,1.057549844347406,1.2706895544156502,-0.15303446037679627,1.0237355055055992,-0.08580053884326845,0.010478496057917052,Rule-based,,
60/40,0.15851119655884952,0.11196650002940069,1.0323134847927988,1.2526878553705236,-0.15500695341700288,1.0226070061026196,-0.05736025347090951,0.0,Rule-based,,
LinearRegression,0.14072987010329438,0.11108825262418137,0.8804099358797459,1.2735326354529743,-0.1515907633773777,0.9283538585590095,-0.2090204045640134,0.3112699247113184,Classical,0.09309890109890111,0.5771428571428571
CAPM,0.26050449681181814,0.21075751163888243,1.032360964913915,1.2310500610101276,-0.33594175878844346,0.7754454157509746,0.6938002677831223,0.0927829722996202,Classical,0.04879120879120879,0.5385714285714286
APT_3Factor,0.26102303056942894,0.13409562988338156,1.626424082765815,2.429300960376341,-0.13666433094373315,1.909957256344351,0.8845308023735944,0.1870141902253613,Classical,0.0835164835164835,0.5342857142857143
MLP,0.1585726409399505,0.14819599264740083,0.7803582953937112,1.331523816231358,-0.16308000831996416,0.9723610059476439,-0.03361832640606461,0.602244421705829,DL baseline,0.031120879120879134,0.5371428571428571
CNN,0.15253837550049387,0.1242006367805142,0.8825373976202106,1.3852220439775484,-0.14152583353887105,1.0778129454266605,-0.08607111151504308,0.3386295417412506,DL baseline,0.028571428571428584,0.5742857142857143
LSTM,0.07007546122027733,0.09444218428554775,0.28746468214613285,0.38895689782312715,-0.13645125542090158,0.5135567349975674,-0.9019043026244502,0.3424511870034512,DL baseline,-0.05081318681318683,0.5771428571428571
GRU,0.11073418043794077,0.09616546338524186,0.7051129305419753,0.9628274937602198,-0.1488858806228497,0.7437520601328684,-0.47186203103038443,0.1889762234765765,DL baseline,0.05978021978021978,0.5771428571428571
Transformer,0.07471155767683296,0.10033352259557445,0.31679231548069925,0.42219006879615734,-0.15286061457771372,0.48875609903327916,-0.8431479400692632,0.20759036990931864,DL baseline,-0.04545054945054944,0.5771428571428571
Proposed-A,0.11672021557139221,0.09883153055546612,0.7466599618887014,1.0902625424849848,-0.12928283242186395,0.9028284218783315,-0.41887576591609793,0.23109727865871904,Proposed,0.010901098901098898,0.5771428571428571
Proposed-A+B,0.11054842234173558,0.09943375150403158,0.6800684132444502,0.9155452423461005,-0.14833946890253322,0.7452394373500937,-0.4658589088068436,0.15223464661252026,Proposed,0.002725274725274721,0.5757142857142857
Proposed-A+B+C,0.15851202570896955,0.11527366378973962,1.0027039410003706,1.4299074197979518,-0.12867887798115385,1.23184183912596,-0.037102668153548596,0.5486025739373215,Proposed,0.08079120879120878,0.5757142857142857
